Model,ROC-AUC,ROC-AUC Std,PR-AUC,PR-AUC Std,Precision@10%,Precision@10% Std,Recall@10%,Recall@10% Std,Lift@10%,Lift@10% Std
Logistic regression,0.7528691732096844,0.03870898310416995,0.1500079451978292,0.04953019318176421,0.1421875,0.03597145135381668,0.30548022598870056,0.07738272493452887,3.0548022598870057,0.7738272493452887
XGBoost,0.7188290317016351,0.03186513984587477,0.13552779863957715,0.03058409705538892,0.146875,0.024331892972495994,0.315593220338983,0.05325416955861245,3.1559322033898303,0.5325416955861245
Random forest,0.750132443514772,0.03225825647643146,0.1321891419936982,0.02301528135046077,0.13125,0.023696485762661094,0.28220338983050847,0.05313400881288452,2.8220338983050848,0.5313400881288451
Weighted XGBoost,0.6952167648716691,0.024662803967181183,0.11468289887296375,0.022418333622051295,0.1359375,0.026262087990580642,0.29203389830508475,0.056588344519175104,2.920338983050847,0.5658834451917512
Dummy baseline,0.5,0.0,0.0465625,0.00042790824805090947,0.0390625,0.009568319307746789,0.083954802259887,0.021000502343100774,0.8395480225988701,0.21000502343100771
