feature,importance_mean,importance_std
police_report_filed,0.053434274313551654,0.009420748452804455
claim_amount,0.027401242497661772,0.008785125652208351
prior_claims_count,0.0059514206440860985,0.0063393096856567835
policy_type,0.00210365649749905,0.0014519614697105423
days_to_report,0.000932036394336401,0.0009474171344029592
policy_tenure_months,-3.29441630627772e-05,4.542190523630507e-05
region,-0.0012603223739453648,0.003894442391569607
claim_type,-0.003977932037979859,0.007719169816715749
